"Journey","Train ID","Lateness (mins)"
"17:15 from Littlehampton to London Victoria C (18:56)","L02972","33"
"17:17 from London Victoria C to Littlehampton (18:57)","L03074","5"
"17:19 from Ore to London Victoria C (19:26)","L02368","6"
"17:32 from London Victoria C to Brighton (18:24)","L00978","31"
"17:35 from Brighton to London Victoria C (18:30)","L01228","9"
"17:47 from Epsom to London Victoria C (18:29)","L06500","5"
"17:52 from London Victoria C to Epsom (18:33)","L06490","9"
"17:53 from London Victoria C to East Grinstead (18:49)","L09272","6"
"17:54 from Chichester to Brighton (18:50)","L09792","6"
"17:54 from London Bridge C to Tattenham Corner (18:57)","L70572","6"
"17:59 from Brighton to London Victoria C (19:18)","L04324","34"
"18:02 from London Victoria C to Bognor Regis (19:48)","L04730","29"
"18:04 from London Bridge C to Tonbridge (19:10)","L04480","15"
"18:15 from Dorking to London Victoria C (19:15)","L05510","11"
"18:17 from London Victoria C to Littlehampton (19:57)","L03100","15"
"18:27 from London Victoria C to Brighton (19:43)","L04304","9"
"18:30 from Brighton to Chichester (19:25)","L09828","13"
"18:34 from London Bridge C to Horsham (19:47)","L05000","5"
"18:35 from Brighton to London Victoria C (19:31)","L01248","17"
"18:59 from Bognor Regis to London Victoria C (20:46)","L04772","12"
"18:59 from Brighton to London Victoria C (20:18)","L04334","11"
"19:00 from Brighton to Southampton Central (20:46)","L03490","13"
"19:04 from London Bridge C to Tonbridge (20:10)","L04484","6"
"19:10 from Brighton to London Victoria C (20:03)","L01260","14"
"19:15 from Chichester to London Victoria C (20:57)","L03032","-1420"
"19:15 from Littlehampton to London Victoria C (20:57)","L03020","20"
"19:17 from London Victoria C to Chichester (20:59)","L03112","21"
"19:17 from London Victoria C to Littlehampton (20:57)","L03120","23"
"19:19 from London Victoria C to Sutton Surrey (20:01)","L70606","14"
"19:24 from London Victoria C to Sutton Surrey (20:16)","L71542","7"
"19:38 from London Victoria C to Caterham (20:26)","L72172","5"
"19:45 from Dorking to London Victoria C (20:45)","L05584","5"
"19:49 from London Bridge C to Selhurst TR.S.M.D (20:14)","X26161",""
"19:53 from London Victoria C to East Grinstead (20:49)","L09324","8"
"19:54 from Littlehampton to Bognor Regis (20:11)","L70524","11"
"19:59 from Bognor Regis to London Victoria C (21:46)","L04806","20"
"19:59 from Brighton to London Victoria C (21:18)","L04342","13"
"20:10 from Brighton to London Victoria C (21:05)","L01284","17"
"20:10 from Sutton Surrey to London Victoria C (20:57)","L71346","9"
"20:15 from Chichester to London Victoria C (21:56)","L03056","-1427"
"20:15 from Littlehampton to London Victoria C (21:56)","L03044","13"
"20:17 from London Victoria C to Chichester (21:59)","L03128","11"
"20:17 from London Victoria C to Littlehampton (21:57)","L03134","13"
"20:25 from Sutton Surrey to London Victoria C (21:04)","L70650","6"
"20:26 from Bognor Regis to Littlehampton (20:42)","L70536","7"
"20:27 from London Victoria C to Brighton (21:43)","L04320","28"
"20:32 from London Victoria C to Brighton (21:24)","L01132","9"
"20:53 from London Victoria C to East Grinstead (21:49)","L09352","35"
"20:59 from Bognor Regis to London Victoria C (22:46)","L04842","5"
"21:00 from Brighton to Southampton Central (22:46)","L03510","8"
"21:02 from London Victoria C to Bognor Regis (22:48)","L04838","12"
"21:06 from London Victoria C to Brighton (22:12)","L01158","7"
"21:14 from Chichester to Brighton (22:30)","L71462","19"
"21:17 from London Victoria C to Littlehampton (22:59)","L03156","6"
"21:19 from Brighton to Three Bridges Back Road (22:02)","L72547",""
"21:25 from Brighton to Chichester (22:20)","L09850","5"
"21:27 from London Victoria C to Brighton (22:53)","L04330","15"
"21:30 from Southampton Central to Brighton (23:20)","L03334","7"
"21:54 from London Bridge C to Tattenham Corner (22:57)","L70078","7"
"21:55 from Brighton to Littlehampton (22:41)","L06538","8"
"22:12 from East Grinstead to London Victoria C (23:09)","L09372","20"
"22:20 from Brighton to Lovers Walk TR.S.M.D (22:40)","L72489",""
"22:33 from Littlehampton to Littlehampton Outside Shed (22:37)","L74670",""
"22:38 from London Victoria C to Caterham (23:26)","L72204","5"
"23:15 from Tonbridge to Tonbridge Jubilee Sidings (23:17)","L72875",""
"23:23 from Hove to Brighton (23:27)","L73031","5"

"Copyright 2015 raildar.co.uk. Usage under terms of licence, visit site for more details. Data provided AS IS without warranty."
