"Journey","Train ID","Lateness (mins)"
"15:25 from Exeter St. Davids to London Waterloo Main (18:49)","Q06571","6"
"15:28 from Guildford to London Waterloo Main (16:40)","Q06667","7"
"15:28 from London Waterloo Main to Reading Platforms 4A4B (16:48)","Q07339","7"
"15:32 from Woking to London Waterloo Main (16:22)","Q08251","8"
"15:37 from Guildford to London Waterloo Main (16:37)","Q06702","6"
"15:39 from Haslemere to London Waterloo Main (16:40)","Q06771","10"
"15:40 from Shepperton to London Waterloo Main (16:34)","Q07933","5"
"15:50 from London Waterloo Main to Woking (16:38)","Q07547","10"
"15:53 from Ascot to Guildford (16:55)","Q06237","7"
"15:54 from Bournemouth T.R.S.M.D to Bournemouth (16:09)","Q23448","12"
"15:54 from Hampton Court to London Waterloo Main (16:31)","Q06743","6"
"15:56 from Salisbury to Chandlers Ford (16:55)","Q07864",""
"16:02 from London Waterloo Main to Clapham Yard Sidings (16:30)","Q23462",""
"16:03 from Weymouth to London Waterloo Main (18:49)","Q08128","9"
"16:05 from London Waterloo Main to Weymouth (19:02)","Q24660","5"
"16:15 from Portsmouth Harbour to London Waterloo Main (17:51)","Q07712","5"
"16:18 from Windsor  Eton Riverside to London Waterloo Main (17:26)","Q08177","5"
"16:36 from London Waterloo Main to Hampton Court (17:14)","Q07038","7"
"16:39 from London Waterloo Main to Guildford (17:52)","Q06967","5"
"16:42 from London Waterloo Main to Shepperton (17:35)","Q07383","7"
"16:45 from Exeter St. Davids to Exeter New Yard (16:47)","W39027",""
"16:46 from Exeter St. Davids to Exeter New Yard (16:48)","Q06554",""
"16:46 from London Waterloo Main to Chessington South (17:22)","Q06871","5"
"16:50 from London Waterloo Main to Woking (17:40)","Q07549","14"
"16:54 from Basingstoke to London Waterloo Main (18:05)","Q06308","5"
"16:56 from Salisbury to Chandlers Ford (17:55)","Q23326",""
"17:05 from London Waterloo Main to Weymouth (20:02)","Q23281","18"
"17:07 from Romsey to Salisbury (18:15)","Q07827","6"
"17:10 from Portsmouth  Southsea to London Waterloo Main (18:51)","Q07654","9"
"17:30 from Salisbury TR.S.M.D to Salisbury (17:44)","Q23420","25"
"17:33 from Weybridge B to Virginia Water (17:45)","Q08107","5"
"17:44 from Alton to London Waterloo Main (18:57)","Q06206","5"
"17:44 from Exeter St. Davids to Exeter New Yard (17:46)","W39046",""
"17:45 from Portsmouth Harbour to London Waterloo Main (19:23)","Q07714","6"
"17:50 from London Waterloo Main to Woking (18:40)","Q07551","8"
"17:50 from Poole to London Waterloo Main (20:34)","Q24665","44"
"17:59 from Portsmouth Harbour to London Waterloo Main (20:07)","Q07732","7"
"18:03 from Weymouth to London Waterloo Main (20:49)","Q08130","27"
"18:05 from London Waterloo Main to Weymouth (21:02)","Q23282","60"
"18:20 from Weymouth to London Waterloo Main (21:24)","Q08144","13"
"18:24 from Basingstoke to London Waterloo Main (19:36)","Q06311","7"
"18:24 from Portsmouth  Southsea to London Waterloo Main (20:13)","Q07665","7"
"18:27 from Salisbury to Salisbury TR.S.M.D (18:37)","Q23401",""
"18:35 from London Waterloo Main to Weymouth (21:15)","Q07455","53"
"18:39 from London Waterloo Main to Poole (21:57)","Q07212","12"
"18:50 from Poole to London Waterloo Main (21:38)","Q07623","12"
"18:52 from London Waterloo Main to Weybridge B (20:09)","Q07436","20"
"18:56 from Salisbury to Chandlers Ford (19:55)","Q07867",""
"19:05 from London Waterloo Main to Weymouth (22:00)","Q07470","47"
"19:08 from Bournemouth to Bournemouth T.R.S.M.D (19:24)","Q06364",""
"19:15 from Portsmouth Harbour to London Waterloo Main (20:50)","Q07717","6"
"19:20 from London Waterloo Main to Reading Platforms 4A4B (20:40)","Q07319","22"
"19:24 from Portsmouth  Southsea to London Waterloo Main (21:21)","Q24703","7"
"19:28 from London Waterloo Main to Windsor  Eton Riverside (20:22)","Q23355","6"
"19:31 from Bournemouth to Bournemouth Middle Sdg (19:33)","Q06357",""
"19:33 from London Waterloo Main to Clapham Junction M (20:39)","Q07129","76"
"19:35 from London Waterloo Main to Weymouth (22:20)","Q23283","15"
"19:39 from London Waterloo Main to Southampton Central (21:12)","Q07399","5"
"19:44 from Alton to London Waterloo Main (20:57)","Q06210","5"
"19:45 from London Waterloo Main to Portsmouth  Southsea (21:43)","Q07225","5"
"19:50 from Basingstoke Down Yard to Basingstoke (19:52)","Q06350","5"
"19:50 from London Waterloo Main to Woking (20:38)","Q07555","5"
"19:54 from Basingstoke to London Waterloo Main (21:05)","Q06314","8"
"19:56 from Salisbury to Chandlers Ford (20:55)","Q07868",""
"19:58 from Guildford to London Waterloo Main (21:11)","Q06676","7"
"20:03 from London Waterloo Main to Clapham Junction M (21:09)","Q07130","62"
