"Journey","Train ID","Lateness (mins)"
"08:21 from Victoria C.H.S. to London Victoria C (08:23)","X07709","7"
"09:00 from London Victoria C to East Croydon (09:30)","X07646","7"

"Copyright 2015 raildar.co.uk. Usage under terms of licence, visit site for more details. Data provided AS IS without warranty."
