"Journey","Train ID","Lateness (mins)"
"15:48 from Exeter St. Davids to Exeter New Yard (15:50)","Q04587",""
"15:49 from Exeter St. Davids to Exeter New Yard (15:51)","W39009",""
"15:51 from Bristol Temple Meads to Salisbury (17:09)","Q04431","43"
"15:52 from Clapham Yard Sidings to London Waterloo Main (16:11)","Q04517","5"
"15:52 from London Waterloo Main to Weybridge B (17:07)","Q24538","7"
"15:56 from Salisbury to Chandlers Ford (16:55)","Q05816",""
"16:03 from Weymouth to London Waterloo Main (18:49)","Q06018","8"
"16:09 from London Waterloo Main to Portsmouth Harbour (18:18)","Q05305","7"
"16:20 from Weymouth to London Waterloo Main (19:20)","Q06032","8"
"16:22 from London Waterloo Main to Weybridge B (17:37)","Q24539","8"
"16:24 from Portsmouth  Southsea to London Waterloo Main (18:13)","Q05646","5"
"16:35 from London Waterloo Main to Weymouth (19:21)","Q05455","16"
"16:38 from Portsmouth  Southsea to Southampton Central (17:38)","Q05661","6"
"16:45 from Exeter St. Davids to Exeter New Yard (16:47)","W39027",""
"16:46 from Exeter St. Davids to Exeter New Yard (16:48)","Q04588",""
"16:52 from London Waterloo Main to Weybridge B (18:07)","Q24540","6"
"16:56 from Salisbury to Chandlers Ford (17:55)","Q05817",""
"17:00 from London Waterloo Main to Portsmouth Harbour (18:39)","Q05285","9"
"17:03 from Weymouth to London Waterloo Main (19:49)","Q06019","10"
"17:05 from London Waterloo Main to Weymouth (20:00)","Q05469","21"
"17:10 from Portsmouth  Southsea to London Waterloo Main (18:51)","Q05636","8"
"17:20 from Weymouth to London Waterloo Main (20:20)","Q06033","6"
"17:35 from London Waterloo Main to Weymouth (20:13)","Q05456","13"
"17:44 from Alton to London Waterloo Main (18:57)","Q04242","5"
"17:56 from Salisbury to Chandlers Ford (18:55)","Q05818",""
"18:05 from London Waterloo Main to Weymouth (21:00)","Q05470","5"
"18:20 from London Waterloo Main to Exeter St. Davids (21:42)","Q04987","6"
"18:20 from London Waterloo Main to Woking (19:08)","Q05540","7"
"18:56 from Salisbury to Chandlers Ford (19:55)","Q05819",""
"19:00 from London Waterloo Main to Portsmouth Harbour (20:33)","Q05289","5"
"19:07 from Romsey to Salisbury (20:15)","Q05780","15"
"19:08 from Bournemouth to Bournemouth T.R.S.M.D (19:24)","Q04402",""
"19:20 from London Waterloo Main to Exeter St. Davids (22:45)","Q04988","5"
"19:27 from Bournemouth to Bournemouth Middle Sdg (19:29)","Q04396",""
"19:35 from London Waterloo Main to Weymouth (22:20)","Q22892","5"
"19:56 from Salisbury to Chandlers Ford (20:55)","Q05820",""
"19:57 from Effingham Jn. C.H.S. to Effingham Jn. C.H.S. (04:20)","W33029","75"
"19:57 from Effingham Jn. C.H.S. to Effingham Jn. C.H.S. (04:20)","W33029","75"
"20:04 from Dorking to London Waterloo Main (20:55)","Q04546","5"
"20:12 from London Waterloo Main to Clapham Yard Sidings (20:40)","Q23186",""
"20:22 from London Waterloo Main to Weybridge B (21:37)","Q24548","6"
"20:24 from Basingstoke to London Waterloo Main (21:34)","Q04353","7"
"20:52 from Bournemouth Middle Sdg to Southampton Central (21:22)","Q04412","6"
"20:52 from London Waterloo Main to Weybridge B (22:07)","Q24549","9"
"20:56 from Salisbury to Chandlers Ford (21:55)","Q05821",""
"20:58 from London Waterloo Main to Windsor  Eton Riverside (21:51)","Q24579","6"
"21:05 from London Waterloo Main to Poole (23:29)","Q05235","12"
"21:43 from London Waterloo Main to Clapham Yard Sidings (22:11)","Q04928",""
"21:56 from Salisbury to Chandlers Ford (22:55)","Q05822",""
"22:07 from Romsey to Redbridge (22:44)","Q05766","6"
"22:09 from London Waterloo Main to Clapham Yard Sidings (22:37)","Q24624",""
"22:14 from London Waterloo Main to Clapham Yard Sidings (22:42)","Q04930",""
"22:45 from Bournemouth T.R.S.M.D to Southampton Central (23:44)","Q23122","9"
"23:12 from Brockenhurst to Bournemouth T.R.S.M.D (23:50)","Q04433",""

"Copyright 2015 raildar.co.uk. Usage under terms of licence, visit site for more details. Data provided AS IS without warranty."
