"Journey","Train ID","Lateness (mins)"
"09:29 from Portsmouth Harbour to Brighton (10:48)","X09163","8"
"09:30 from Bognor Regis to London Victoria C (11:10)","X07842","7"
"09:32 from Horsham to Bognor Regis (10:17)","X08317","17"
"09:33 from Brighton to Southampton Central (11:19)","X08180","8"
"09:39 from London Victoria C to Tonbridge (10:39)","X08265","7"
"09:47 from London Victoria C to Ore (11:49)","X07950","17"
"09:53 from London Victoria C to East Grinstead (10:48)","X09067","6"
"09:53 from London Victoria C to Epsom (10:52)","X09312","6"
"09:55 from Eastbourne to London Victoria C (11:27)","X07957","5"
"09:57 from Lovers Walk TR.S.M.D to Brighton (10:17)","X20013","21"
"09:58 from Brighton to London Victoria C (10:54)","X07349","7"
"09:59 from Portsmouth  Southsea to Littlehampton (10:53)","X09404","7"
"10:03 from Brighton to Portsmouth Harbour (11:21)","X09160","8"
"10:03 from London Victoria C to Sutton Surrey (10:48)","X07431","5"
"10:06 from Haywards Heath to Eastbourne (10:46)","X07949","8"
"10:09 from London Victoria C to Reigate (10:43)","X08225","8"
"10:12 from Portsmouth Harbour to Horsham (11:16)","X07851","8"
"10:14 from Littlehampton to London Victoria C (11:57)","X08092","13"
"10:19 from Tonbridge to London Victoria C (11:21)","X08282","5"
"10:20 from London Victoria C to Brighton (11:16)","X07346","12"
"10:22 from Brighton to Lewes (10:37)","X09117","10"
"10:28 from Brighton to London Victoria C (11:24)","X07761","34"
"10:31 from London Victoria C to Horsham (11:46)","X08553","5"
"10:33 from Brighton to Southampton Central (12:27)","X08253","16"
"10:36 from Haywards Heath to Littlehampton (11:29)","X08080","19"
"10:39 from London Victoria C to Tonbridge (11:39)","X08267","28"
"10:47 from London Victoria C to Epsom (11:29)","X08556","5"
"10:47 from London Victoria C to Ore (12:49)","X07954","9"
"10:54 from Epsom to Epsom - Down Sidings (10:56)","X09829","6"
"10:55 from Eastbourne to London Victoria C (12:27)","X07961","7"
"10:58 from Brighton to London Victoria C (11:54)","X07765","7"
"11:01 from Epsom - Down Sidings to Epsom (11:03)","X09835","6"
"11:04 from Epsom to London Victoria C (11:58)","X07442","9"
"11:06 from London Victoria C to Portsmouth Harbour (13:03)","X07834","19"
