"Journey","Train ID","Lateness (mins)"
"11:20 from London Victoria C to Brighton (12:16)","X26506","6"
"11:22 from Ore to Brighton (12:44)","X27732","5"
"11:28 from Brighton to London Victoria C (12:24)","X26517","5"
"11:32 from Horsham to Bognor Regis (12:17)","X27532","10"
"11:39 from London Victoria C to Tonbridge (12:39)","X27481","6"
"11:43 from Chichester to Horsham (12:18)","X31510","22"
"11:55 from Eastbourne to London Victoria C (13:27)","X26907","13"
"11:56 from Bognor Regis to London Victoria C (13:40)","X26700","13"
"12:00 from Chichester to Brighton (12:48)","X29145","8"
"12:02 from Horsham to Bognor Regis (12:44)","X27518","19"
"12:03 from Brighton to Chichester (12:50)","X29140","13"
"12:06 from London Victoria C to Chichester (13:33)","X31522","7"
"12:09 from London Victoria C to Reigate (12:43)","X27342","9"
"12:10 from London Bridge C to West Croydon (12:49)","X28785","6"
"12:18 from Tattenham Corner to London Bridge C (13:12)","X27028","11"
"12:23 from London Victoria C to East Grinstead (13:18)","X28991","12"
"12:26 from Eastbourne to Eastbourne Sidings (12:38)","X30411",""
"12:27 from London Bridge C to Horsham (13:42)","X27626","5"
"12:28 from Brighton to London Victoria C (13:24)","X26529","7"
"12:30 from Bognor Regis to London Victoria C (14:10)","X31462","24"
"12:30 from Horsham to London Bridge C (13:48)","X27640","5"
"12:33 from Brighton to Southampton Central (14:19)","X27265","7"
"12:36 from London Victoria C to Southampton Central (15:01)","X27187","13"
"12:39 from London Victoria C to Tonbridge (13:39)","X27483","7"
"12:43 from Chichester to Horsham (13:18)","X31511","21"
"12:47 from London Victoria C to Ore (14:49)","X26902","13"
"12:48 from Tattenham Corner to London Bridge C (13:42)","X27030","6"
"12:50 from London Bridge C to Tattenham Corner (13:40)","X27303","13"
"12:50 from London Victoria C to Brighton (13:46)","X26526","17"
"12:52 from Brighton to Ore (14:17)","X27755","16"
"12:53 from London Victoria C to East Grinstead (13:48)","X28995","13"
"12:54 from Caterham to London Victoria C (13:46)","X29304","12"
"12:56 from Bognor Regis to London Victoria C (14:40)","X26711","15"
"12:57 from London Bridge C to Horsham (14:12)","X27630","6"
"13:00 from Chichester to Brighton (13:48)","X29149","16"
"13:06 from Haywards Heath to Eastbourne (13:46)","X26900","37"
"13:06 from London Victoria C to Chichester (14:33)","X31523","15"
"13:09 from London Victoria C to Reigate (13:43)","X27343","12"
"13:17 from London Victoria C to Littlehampton (14:56)","X27099","21"
"13:20 from London Victoria C to Brighton (14:16)","X26531","9"
"13:30 from Bognor Regis to London Victoria C (15:10)","X31463","26"
"13:32 from Horsham to Bognor Regis (14:17)","X27534","12"
"13:36 from Haywards Heath to Littlehampton (14:29)","X27097","20"
"13:40 from London Bridge C to West Croydon (14:19)","X28807","5"
"13:43 from Chichester to Horsham (14:18)","X31512","9"
"13:47 from London Victoria C to Ore (15:49)","X26908","5"
"13:48 from Tattenham Corner to London Bridge C (14:42)","X27036","5"
"13:50 from London Victoria C to Brighton (14:46)","X26537","5"
"13:53 from London Victoria C to Epsom (14:52)","X29574","9"
"13:55 from Eastbourne to London Victoria C (15:27)","X26919","11"
"13:58 from Brighton to London Victoria C (14:54)","X26547","32"
"14:02 from Horsham to Bognor Regis (14:44)","X27520","12"
"14:03 from Brighton to Chichester (14:50)","X29148","14"
"14:06 from Bognor Regis to Littlehampton (14:23)","X29307","6"
"14:06 from London Victoria C to Chichester (15:33)","X31524",""
