"Journey","Train ID","Lateness (mins)"
"01:05 from Haywards Heath to Eastbourne (01:41)","X09985","15"
"03:50 from Lovers Walk TR.S.M.D to Seaford (05:01)","X12027","7"
"04:35 from Littlehampton to Bognor Regis (05:05)","X12051","14"
"04:39 from Stewarts Lane TRSMD to London Victoria C (04:55)","X12056","51"
"04:42 from Bognor Sidings to Barnham (04:51)","X12040","47"
"04:50 from London Victoria C to Streatham Hill Down Siding (05:14)","X12068",""
"05:02 from London Victoria C to Brighton (06:30)","X08258","9"
"05:10 from Brighton to Eastbourne (05:42)","X07893","10"
"05:23 from Brighton to London Victoria C (06:24)","X07715","9"
"05:43 from Brighton to Hove (05:47)","X08949","5"
"05:50 from Stewarts Lane TRSMD to London Victoria C (06:05)","X09809","46"
"05:57 from Littlehampton to Portsmouth  Southsea (06:50)","X09190","10"
"06:01 from Selhurst to London Victoria C (06:26)","X09285","2"
"06:02 from London Victoria C to Southampton Central (09:01)","X08148","9"
"06:12 from Portsmouth Harbour to Horsham (07:15)","X07828","5"
"06:22 from Redhill to Tonbridge (06:52)","X08409","7"
"06:25 from Streatham Hill Down Siding to West Croydon (06:49)","X09975","5"
"06:55 from Eastbourne to London Victoria C (08:27)","X07944","11"
"06:57 from Littlehampton to Portsmouth  Southsea (07:50)","X09191","8"
"06:57 from Portsmouth  Southsea to Littlehampton (07:52)","X23215","10"
"06:59 from London Bridge C to Caterham (07:54)","X07460","18"
"07:08 from Barnham to Bognor Regis (07:15)","X08851","6"
"07:12 from Portsmouth Harbour to Horsham (08:15)","X07887","7"
"07:13 from London Victoria C to Caterham (08:12)","X09451","6"
"07:19 from Tonbridge to London Victoria C (08:21)","X08270","14"
"07:30 from Bognor Regis to London Victoria C (09:10)","X07885","18"
"07:32 from Southampton Central to Brighton (09:18)","X08162","14"
"07:54 from Caterham to London Victoria C (08:46)","X09209","10"
"07:55 from Eastbourne to London Victoria C (09:27)","X07948","11"
"07:57 from Littlehampton to Portsmouth  Southsea (08:50)","X09192","9"
"07:59 from Portsmouth  Southsea to Littlehampton (08:52)","X09400","8"
"08:07 from Caterham to London Bridge C (09:02)","X08811","18"
"08:10 from Brighton to Hove (08:13)","X08852","7"
"08:22 from Ore to Brighton (09:44)","X08407","10"
"08:28 from Brighton to London Victoria C (09:24)","X07337","11"
"08:32 from Southampton Central to Brighton (10:18)","X08163","10"
"08:39 from London Victoria C to Tonbridge (09:39)","X08263","8"
"08:40 from London Bridge C to West Croydon (09:19)","X08962","13"
"08:50 from London Victoria C to Brighton (09:46)","X07334","6"
"08:51 from Littlehampton to Haywards Heath (09:39)","X08086","9"
"08:55 from Eastbourne to London Victoria C (10:27)","X07953","10"
"08:56 from Bognor Regis to London Victoria C (10:40)","X07839","7"
"08:59 from Portsmouth  Southsea to Littlehampton (09:53)","X09402","24"
"09:06 from London Victoria C to Portsmouth Harbour (11:03)","X07826","6"
"09:12 from Portsmouth Harbour to Horsham (10:16)","X07844","33"
"09:13 from Southampton Central to Horsham (10:45)","X07847","7"
"09:19 from Tonbridge to London Victoria C (10:21)","X08278","20"
"09:20 from London Bridge C to Tattenham Corner (10:10)","X08194","18"
"09:25 from West Croydon to London Bridge C (10:07)","X08963","7"
"09:27 from London Bridge C to Horsham (10:40)","X08350","9"
"09:30 from Horsham to London Bridge C (10:48)","X06979","6"
"09:32 from Horsham to Bognor Regis (10:17)","X08317","5"
"09:39 from London Victoria C to Tonbridge (10:39)","X08265","9"
"09:41 from Epsom - Down Sidings to Epsom (09:43)","X09584",""
"09:55 from Eastbourne to London Victoria C (11:27)","X07957","5"
"09:55 from Ore to Haywards Heath (11:10)","X07959","7"
"09:56 from Bognor Regis to London Victoria C (11:40)","X07845","12"
"09:57 from Littlehampton to Portsmouth  Southsea (10:50)","X09194","11"
"10:06 from Bognor Regis to Littlehampton (10:23)","X09224","5"
