"Journey","Train ID","Lateness (mins)"
"13:09 from Hayes Kent to London Victoria (13:51)","J55604","5"
"13:12 from London Victoria to Orpington (13:49)","J55233","5"
"13:17 from Sevenoaks to London Victoria (14:15)","J55686","7"
"13:19 from Ramsgate to London Victoria (15:25)","J54361","21"
"13:22 from London Victoria to Canterbury West (15:27)","J55254","6"
"13:28 from London Victoria to Sevenoaks (14:22)","J55644","8"
"13:28 from Orpington to London Victoria (14:04)","J55077","9"
"13:31 from London Victoria to Ramsgate (15:42)","J54592","10"
"13:34 from Ashford International to Dover Priory (14:05)","J54516","5"
"13:54 from London Blackfriars to Gravesend (14:53)","J54755","8"
"13:58 from London Victoria to Sevenoaks (14:52)","J55645","5"
"14:10 from Ashford International to London Victoria (15:37)","J54890","5"
"14:12 from London Victoria to Orpington (14:49)","J55235","12"
"14:19 from Ramsgate to London Victoria (16:25)","J54363","7"
"14:28 from Orpington to London Victoria (15:04)","J55085","5"
"14:47 from Sevenoaks to London Victoria (15:45)","J55655","5"
"15:01 from Faversham to Dover Priory (15:41)","J54593","12"
"15:06 from Canterbury West to London Victoria (17:07)","J54893","6"
"15:10 from Ashford International to London Victoria (16:37)","J54892","6"
"15:12 from St. Pancras International to Margate (16:39)","J54466","14"
"15:34 from Ashford International to Dover Priory (16:05)","J54520","17"
"15:47 from London Cannon Street to Dartford (16:34)","J55158","6"
"15:52 from London Victoria to Ashford International (17:21)","J55259","8"
"16:06 from Canterbury West to London Victoria (18:07)","J54895","5"
"16:09 from Hastings to London Bridge C (17:57)","X05142","10"
"16:24 from London Blackfriars to Gravesend (17:23)","J54760","6"
"16:28 from Orpington to London Victoria (17:04)","J54984","6"
"16:31 from Dartford to London Cannon Street (17:14)","J54978","5"
"16:53 from Margate to St. Pancras International (18:21)","J54471","13"
"17:01 from London Victoria to Ramsgate (19:13)","J54525","7"
"17:09 from Hastings to London Bridge C (18:57)","X05146","8"
"17:10 from Ashford International to London Victoria (18:37)","J54896","5"
"17:12 from London Victoria to Orpington (17:49)","J55206","14"
"17:12 from St. Pancras International to Margate (18:39)","J54470","9"
"17:34 from Ashford International to Dover Priory (18:05)","J54524","21"
"17:39 from Hayes Kent to London Victoria (18:21)","J55577","5"
"17:42 from London Victoria to Orpington (18:19)","J55207","7"
"17:52 from London Victoria to Ashford International (19:21)","J55263","7"
"17:57 from Dover Priory to London Victoria (20:11)","J54566","11"
"17:59 from Ramsgate to Faversham (18:41)","J54567","5"
"18:01 from London Victoria to Ramsgate (20:13)","J54527","6"
